advertiser_name,Category,Relevent_Score
Meetsocial HK Digital Marketing Co.ï¼ltd-1,Other,-1
Bombora,Finance,0
IHS Markit Automotive,Other,-1
OMD USA,Other,-1
Experian Marketing Services - Audiences,Software,-1
Staybuzzy,Media,1
Amobee DMP,Other,-1
Dropbox,Other,-1
AutoAnything,Other,-1
Redis,Other,-1
Kinetic Social,Other,-1
BerlinRosen,Finance,0
Butler/Till,Other,-1
Pabst Blue Ribbon,Software,-1
OMD Entertainment,Other,-1
Smartnews International,eCommerce,1
Neo4j,Other,-1
Lightning Digital,Other,-1
Call Center Studio,Other,-1
Harvard Business Review,eCommerce,0
Zendesk,eCommerce,0
Costco Wholesale,eCommerce,0
Varick Media Management,Other,-1
Coach,Food,1
Decoded Advertising,Other,-1
Acorn: The Influence Company,eCommerce,0
Clearco,Other,-1
Macy's,Other,-1
160over90,eCommerce,0
AP HS,Software,-1
MIT Open Learning,Other,-1
SOREL,Other,-1
BitMango,Software,1
Reprise Media MÃ©xico,Other,-1
Hunter PR,Software,1
Utsav Fashion,Other,-1
PushSpring,Other,-1
Daon,Finance,-1
Allround Learning,Software,-1
Darden Concepts,Other,-1
mParticle,Finance,0
Gram Games,Media,1
Ahalogy,Education,0
Retargetly,Other,-1
J3,Media,0
Samsung Developers,Media,0
Coinbase,Other,-1
The Home Depot,Other,-1
Sling TV,Other,-1
WhiteHat Jr,Other,-1
Ayman Mostafa E Marketing Consultant & Coach,eCommerce,1
Songmics,Media,1
Netspend,Food,1
Domino Data Lab,Other,-1
Neustar FB Syndication,Other,-1
Prophet Market Solutions,Other,-1
Imemories,Other,-1
Skai,Other,-1
iFrog Marketing Solutions,Other,-1
Dice with Buddies,Finance,0
GameStop,eCommerce,0
Local Alcohol Deals,Other,-1
Shanice Hah,Other,-1
Rdio,Other,-1
Las Vegas Review-Journal,Election,1
Paycor,Media,0
WHOSAY,Other,-1
Ice.com,Other,-1
Vladimir Jones,Other,-1
Praytell,Other,-1
Minnesota Timberwolves,Other,-1
Gilt Groupe Inc,Other,-1
Redfin,Other,-1
Flipkart Internet Private Limited,eCommerce,0
Carter's,eCommerce,1
King,Other,-1
Faraday,Other,-1
Logicserve Digital,Other,-1
eBags,Other,-1
EatStreet,Other,-1
IFFCO,Other,-1
Absentia Virtual Reality,Other,-1
VertoDigital,Other,-1
Morningstar,Other,-1
Merkle Sokrati,eCommerce,0
Independent Women's Voice,Food,0
Purple Media,Other,-1
Code3,Other,-1
ABCmouse.com Early Learning Academy,Food,0
Boxed,Other,-1
Ciceron,eCommerce,0
Razorfish,Media,0
Iron Store,Software,1
Jerry.ai,Other,-1
agoda,Other,-1
Aero Opco LLC,Other,-1
Big Fish Games,Other,-1
Westfield,Finance,0
Skillshare,Finance,0
Shell,Finance,0
LendingTree,Other,-1
Pivmo LLC,eCommerce,1
Orderplus-CLM,Media,0
Construtora Tenda,Media,0
MullenLowe U.S.,Media,0
New York & Company,Media,0
Pusher,Other,-1
Gaana Music Festival,Other,-1
Living Spaces,Media,1
AdParlor,Other,-1
ISFP,Election,1
Twilio Segment,eCommerce,1
Faveeo,Other,-1
Gap Factory,Software,-1
Tookitaki,Other,-1
Mirraw,Other,-1
Amazon.de,Other,-1
Blue449 US,Software,-1
Responsis Pty Ltd,Other,-1
Jamkain INR 17,Other,-1
Accelerate FP,Finance,0
SingleStore DB,eCommerce,0
Equinox,Other,-1
Prezi,Other,-1
CoxNext,Other,-1
Performance Marketing - USD - Spotify AB,Other,-1
WalkMe,Other,-1
AccessiBe,Food,1
Vonage,Other,-1
Afterpay UK Business Manager,Other,-1
insightdottech,Finance,0
Hearts & Science,Media,0
FastTony.es,Other,-1
Picsart,eCommerce,0
Pluralsight,Other,-1
Gempler's,Election,0
CXO Transform,Finance,-1
2U,Other,-1
Hopin,Other,-1
Xfinity,Other,-1
Frankly Organic Vodka,Education,1
Ogilvy,Media,0
Epsilon Audience Data Provider,Other,-1
Whitetruffle,Other,-1
VOX Global,Other,-1
Vserv Digital Services Private Limited,Other,-1
Colorado Technical University,Software,-1
Coursera,Software,1
Tuyen Bus,Other,-1
BM Do Phuong 093,Other,-1
Httpool Slovenia ASP,Finance,0
Burlington,Other,-1
Airbnb,Other,-1
Microsoft Customer Insights Center,Software,-1
Carrefour,Media,1
Unique Influence,Other,-1
Lugg,Other,-1
Express,Other,-1
Gharobaar,Other,-1
Toyota Fan Zone,Other,-1
Mofiler,Finance,0
Overstock,Other,-1
Smartsheet,Software,-1
HYFN,Finance,0
Times Internet USD,Other,-1
Isha Foundation,Other,-1
Gulshan Properties,Software,-1
Digitas North America,Media,1
Emirates,Other,-1
PPC,Other,-1
Cashmere Boutique,Other,-1
SHISEIDO,Other,-1
Foursquare,Other,-1
The Stoneridge Group,Finance,-1
OnSpot Data,Other,-1
Travelzoo,Software,-1
Intuit Mint,Other,-1
Edelman Digital NYC,Other,-1
Skydeo,Software,-1
Spark Foundry,Media,1
Custom Ink,eCommerce,1
Family Guy: The Quest for Stuff,Other,-1
AdVictory,eCommerce,1
L'OrÃ©al Designer Brands Fragrances DMI,Other,-1
Magento,Other,-1
Ninecolours.com,Other,-1
NetApp,eCommerce,0
Pal 8 Media,eCommerce,0
WMX,eCommerce,0
Proof,Other,-1
PayPal,Food,1
Wish,Other,-1
Zimmerman Advertising,eCommerce,0
edX,Other,-1
Coupons.com,Other,-1
Tipalti,eCommerce,0
loanbaba.com,Software,-1
Nate,Other,-1
Initiative,Other,-1
GuruShots,Software,1
OhmConnect,Other,-1
Trellix,Software,1
DataCamp,Other,-1
CBS,Other,-1
Flynn,Finance,0
Mountain America Credit Union,Software,-1
Facebook Portal,Other,-1
Cuebiq,Finance,0
Make America Great Again,Media,1
HomeAdvisor,Education,0
